"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"0603R";2;"100R";;;
2;",,,,,,,,,,,";"buzzardLabel";12;"";;;
3;"U1";"SOP-16";1;"HX711";;;
4;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
7;"R3";"0603R";1;"20k";;;
8;"C5,C3,C1,C4";"0603C";4;"100nF";;;
9;"C2,C6";"1206C";2;"10uF";;;
10;"R5";"0603R";1;"10R";;;
11;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
12;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
13;"Q1";"SOT-23-3";1;"MMBT4403";;;
14;"R4";"0603R";1;"8.2k";;;
15;"K1";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
16;"G***";"Symbol-Front-Scale";1;"LOGO";;;
17;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
18;"K2";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
19;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
